ID;Año;Región;País;Edad;Profesión;Ingresos_Anuales_USD;Clase_Social;Tiene_Familia;Tamaño_Familia;Tipo_Inversión;Monto_Invertido_USD;Frecuencia_Inversión;Riesgo_Inversión;Motivo_Inversión
479;2024;Norteamérica;Canadá;33;Empresario;133497;Alta;No;0;Criptomonedas;6973;Mensual;Bajo;Retiro
480;2024;Europa;Reino Unido;46;Programador;55610;Media;Sí;2;Criptomonedas;5404;Semestral;Bajo;Retiro
481;2024;América Latina;México;18;Diseñador;19075;Baja;Sí;6;Inmobiliario;959;Mensual;Medio;Diversificación
482;2022;Europa;Alemania;40;Contador;313715;Alta;No;0;Inmobiliario;22007;Mensual;Alto;Ahorro
483;2022;Norteamérica;Estados Unidos;27;Profesor;182271;Alta;Sí;1;Fondos Mutuos;29962;Mensual;Medio;Retiro
484;2024;América Latina;México;49;Profesor;450300;Alta;Sí;7;Acciones;20687;Semestral;Bajo;Retiro
485;2022;Norteamérica;Canadá;35;Profesor;487521;Alta;Sí;1;Criptomonedas;92989;Semestral;Bajo;Diversificación
486;2023;Norteamérica;Estados Unidos;35;Contador;415674;Alta;No;0;Fondos Mutuos;4147;Semestral;Medio;Ganancia Rápida
487;2022;América Latina;Brasil;30;Empresario;383953;Alta;Sí;7;Fondos Mutuos;15000;Mensual;Bajo;Diversificación
488;2022;Norteamérica;Estados Unidos;47;Estudiante;356957;Alta;Sí;6;Fondos Mutuos;91544;Anual;Bajo;Diversificación
489;2022;Europa;España;33;Programador;259017;Alta;No;0;Acciones;18878;Semestral;Bajo;Retiro
490;2023;América Latina;Chile;34;Arquitecto;393957;Alta;No;0;Inmobiliario;91663;Semestral;Bajo;Retiro
491;2023;Europa;Reino Unido;22;Arquitecto;197013;Alta;Sí;6;Bonos;42217;Anual;Medio;Retiro
492;2024;América Latina;Brasil;53;Estudiante;295249;Alta;Sí;6;Criptomonedas;18162;Anual;Alto;Ahorro
493;2022;América Latina;México;33;Diseñador;365640;Alta;Sí;8;Acciones;75525;Mensual;Alto;Retiro
494;2022;Norteamérica;Estados Unidos;46;Arquitecto;418196;Alta;No;0;Criptomonedas;38017;Mensual;Medio;Ganancia Rápida
495;2024;Europa;Francia;49;Abogado;236933;Alta;Sí;6;Fondos Mutuos;68071;Semestral;Medio;Diversificación
496;2024;Europa;Italia;38;Arquitecto;41297;Media;Sí;5;Inmobiliario;18175;Anual;Alto;Retiro
497;2022;América Latina;México;36;Diseñador;257302;Alta;Sí;6;Inmobiliario;59325;Anual;Bajo;Ahorro
498;2022;América Latina;Colombia;55;Empresario;59742;Media;Sí;7;Inmobiliario;11353;Semestral;Bajo;Diversificación
499;2022;Norteamérica;Canadá;24;Estudiante;243063;Alta;Sí;3;Fondos Mutuos;89927;Mensual;Alto;Ahorro
500;2023;América Latina;México;25;Contador;185341;Alta;Sí;8;Bonos;61074;Semestral;Alto;Ahorro
501;2023;Norteamérica;Estados Unidos;48;Abogado;482808;Alta;No;0;Criptomonedas;19640;Semestral;Alto;Retiro
502;2024;América Latina;Colombia;43;Profesor;252306;Alta;Sí;8;Bonos;90304;Mensual;Alto;Ahorro
503;2022;Norteamérica;Estados Unidos;53;Diseñador;38441;Media;Sí;1;Fondos Mutuos;9773;Anual;Bajo;Ganancia Rápida
504;2023;Europa;España;56;Programador;140530;Alta;No;0;Fondos Mutuos;7933;Mensual;Medio;Ganancia Rápida
505;2024;Europa;España;55;Programador;339642;Alta;Sí;4;Inmobiliario;32846;Anual;Alto;Retiro
506;2023;Norteamérica;Canadá;33;Empresario;275321;Alta;Sí;8;Criptomonedas;97716;Mensual;Alto;Retiro
507;2022;Norteamérica;Estados Unidos;50;Estudiante;433919;Alta;Sí;2;Acciones;97824;Semestral;Medio;Retiro
508;2024;América Latina;Argentina;42;Profesor;210613;Alta;Sí;5;Acciones;35242;Anual;Alto;Diversificación
509;2023;Europa;Italia;26;Ingeniero;480757;Alta;No;0;Bonos;86440;Semestral;Bajo;Retiro
510;2024;Europa;Italia;36;Empresario;295075;Alta;Sí;7;Inmobiliario;1361;Anual;Alto;Ahorro
511;2022;Norteamérica;Canadá;43;Empresario;272984;Alta;Sí;4;Criptomonedas;48162;Mensual;Alto;Ahorro
512;2024;Norteamérica;Estados Unidos;46;Programador;287701;Alta;Sí;5;Fondos Mutuos;80143;Anual;Alto;Diversificación
513;2022;Europa;Reino Unido;42;Profesor;303979;Alta;No;0;Acciones;5740;Semestral;Medio;Diversificación
514;2024;Norteamérica;Estados Unidos;40;Programador;378421;Alta;No;0;Acciones;38717;Anual;Bajo;Diversificación
515;2024;América Latina;Brasil;47;Profesor;333668;Alta;No;0;Fondos Mutuos;44583;Anual;Bajo;Retiro
516;2024;Europa;España;36;Ingeniero;329902;Alta;Sí;4;Criptomonedas;37545;Mensual;Bajo;Ahorro
517;2024;Europa;Italia;27;Contador;253726;Alta;No;0;Bonos;97200;Anual;Alto;Retiro
518;2023;Norteamérica;Estados Unidos;29;Diseñador;239986;Alta;Sí;6;Acciones;88056;Semestral;Medio;Diversificación
519;2022;América Latina;Colombia;48;Profesor;402971;Alta;No;0;Acciones;64415;Semestral;Alto;Retiro
520;2023;Norteamérica;Canadá;47;Médico;299919;Alta;Sí;2;Inmobiliario;20344;Anual;Medio;Diversificación
521;2023;Europa;Alemania;48;Contador;325368;Alta;Sí;2;Inmobiliario;57909;Mensual;Medio;Ganancia Rápida
522;2024;Norteamérica;Estados Unidos;18;Arquitecto;397823;Alta;No;0;Bonos;96028;Semestral;Medio;Ahorro
523;2023;Europa;Reino Unido;27;Abogado;223781;Alta;Sí;5;Inmobiliario;97094;Mensual;Bajo;Retiro
524;2022;Norteamérica;Canadá;54;Empresario;66792;Media;Sí;6;Acciones;8984;Semestral;Bajo;Diversificación
525;2023;Norteamérica;Estados Unidos;37;Arquitecto;28919;Baja;No;0;Acciones;11568;Anual;Bajo;Diversificación
526;2022;Norteamérica;Canadá;44;Programador;140318;Alta;No;0;Bonos;8049;Semestral;Medio;Diversificación
527;2022;Europa;Francia;43;Empresario;145591;Alta;Sí;1;Acciones;27674;Semestral;Medio;Diversificación
528;2022;América Latina;México;44;Ingeniero;68019;Media;Sí;5;Fondos Mutuos;12431;Anual;Bajo;Diversificación
529;2022;Norteamérica;Estados Unidos;40;Diseñador;310755;Alta;Sí;4;Criptomonedas;68301;Mensual;Alto;Ganancia Rápida
530;2023;Norteamérica;Canadá;30;Profesor;445137;Alta;Sí;8;Bonos;75334;Semestral;Bajo;Ganancia Rápida
531;2022;Norteamérica;Estados Unidos;33;Ingeniero;473186;Alta;Sí;7;Inmobiliario;31287;Semestral;Medio;Diversificación
532;2023;Europa;Francia;51;Programador;263252;Alta;Sí;6;Fondos Mutuos;97375;Anual;Bajo;Diversificación
533;2023;Norteamérica;Estados Unidos;30;Contador;73635;Media;No;0;Criptomonedas;9641;Mensual;Medio;Ahorro
534;2023;Europa;Italia;44;Estudiante;278645;Alta;Sí;6;Fondos Mutuos;49441;Mensual;Bajo;Ganancia Rápida
535;2023;Norteamérica;Canadá;38;Empresario;452130;Alta;Sí;6;Criptomonedas;85221;Semestral;Medio;Diversificación
536;2022;Europa;España;50;Programador;284085;Alta;Sí;5;Inmobiliario;70251;Anual;Medio;Ahorro
537;2022;América Latina;México;42;Arquitecto;424787;Alta;Sí;4;Criptomonedas;14273;Semestral;Alto;Ahorro
538;2022;Europa;España;27;Profesor;370684;Alta;Sí;5;Fondos Mutuos;71106;Mensual;Medio;Ganancia Rápida
539;2024;Norteamérica;Estados Unidos;22;Empresario;290605;Alta;Sí;2;Bonos;6382;Semestral;Alto;Ganancia Rápida
540;2024;Norteamérica;Estados Unidos;27;Empresario;490056;Alta;Sí;1;Inmobiliario;76599;Anual;Alto;Diversificación
541;2022;América Latina;Colombia;47;Médico;354219;Alta;Sí;5;Criptomonedas;23480;Mensual;Bajo;Diversificación
542;2023;Norteamérica;Canadá;30;Abogado;107923;Alta;No;0;Fondos Mutuos;9107;Anual;Alto;Ahorro
543;2022;Europa;Italia;37;Programador;16323;Baja;No;0;Acciones;2625;Semestral;Medio;Diversificación
544;2022;América Latina;México;33;Diseñador;119971;Alta;No;0;Criptomonedas;15624;Mensual;Bajo;Diversificación
545;2024;Europa;Alemania;57;Programador;42495;Media;Sí;5;Fondos Mutuos;17751;Semestral;Alto;Ganancia Rápida
546;2024;Europa;Alemania;35;Diseñador;418485;Alta;No;0;Criptomonedas;49297;Mensual;Alto;Retiro
547;2024;Europa;Francia;29;Empresario;382734;Alta;No;0;Inmobiliario;85011;Mensual;Medio;Ahorro
548;2022;Norteamérica;Estados Unidos;47;Contador;45646;Media;No;0;Bonos;18992;Anual;Bajo;Ahorro
549;2022;Europa;Alemania;43;Empresario;372696;Alta;Sí;3;Acciones;29163;Semestral;Bajo;Diversificación
550;2024;América Latina;México;42;Médico;224625;Alta;Sí;8;Inmobiliario;7329;Semestral;Bajo;Retiro
551;2022;América Latina;México;40;Programador;118378;Alta;No;0;Bonos;13041;Mensual;Alto;Retiro
552;2023;Norteamérica;Estados Unidos;50;Arquitecto;106497;Alta;Sí;1;Acciones;16878;Anual;Bajo;Retiro
553;2022;Norteamérica;Estados Unidos;48;Arquitecto;149093;Alta;Sí;3;Inmobiliario;8178;Anual;Alto;Ahorro
554;2023;América Latina;Colombia;71;Médico;408743;Alta;Sí;2;Criptomonedas;36249;Anual;Medio;Diversificación
555;2022;Norteamérica;Estados Unidos;39;Médico;481064;Alta;No;0;Criptomonedas;42290;Mensual;Bajo;Ahorro
556;2022;América Latina;Brasil;44;Contador;65526;Media;Sí;2;Criptomonedas;20975;Semestral;Bajo;Diversificación
557;2022;Europa;Italia;29;Médico;331171;Alta;Sí;8;Bonos;52242;Semestral;Medio;Ahorro
558;2024;América Latina;Brasil;28;Médico;211630;Alta;Sí;8;Criptomonedas;8391;Anual;Alto;Retiro
559;2022;América Latina;México;32;Diseñador;189924;Alta;Sí;3;Fondos Mutuos;22223;Mensual;Medio;Diversificación
560;2022;América Latina;Argentina;44;Empresario;458459;Alta;No;0;Fondos Mutuos;8572;Mensual;Alto;Retiro
561;2022;América Latina;México;31;Ingeniero;339721;Alta;No;0;Acciones;40668;Anual;Alto;Retiro
562;2022;América Latina;México;43;Arquitecto;235869;Alta;Sí;8;Fondos Mutuos;97125;Semestral;Bajo;Diversificación
563;2022;América Latina;Chile;52;Ingeniero;155768;Alta;Sí;3;Acciones;13252;Anual;Alto;Ahorro
564;2022;América Latina;Chile;29;Médico;382110;Alta;No;0;Inmobiliario;21798;Anual;Alto;Retiro
565;2024;Europa;Reino Unido;57;Diseñador;110247;Alta;Sí;8;Criptomonedas;31722;Mensual;Medio;Ahorro
566;2023;Europa;España;25;Arquitecto;452219;Alta;No;0;Acciones;34707;Mensual;Bajo;Retiro
567;2024;América Latina;Argentina;40;Médico;109172;Alta;No;0;Fondos Mutuos;3556;Anual;Alto;Ahorro
568;2022;América Latina;Colombia;44;Contador;308989;Alta;No;0;Inmobiliario;15214;Anual;Medio;Ahorro
569;2022;Europa;Reino Unido;48;Médico;150902;Alta;Sí;8;Bonos;38392;Anual;Medio;Ganancia Rápida
570;2023;América Latina;Colombia;50;Contador;163960;Alta;No;0;Bonos;29564;Semestral;Bajo;Ahorro
571;2024;Europa;Francia;51;Abogado;379482;Alta;Sí;5;Bonos;21281;Anual;Alto;Ahorro
572;2022;América Latina;Brasil;47;Abogado;415343;Alta;No;0;Acciones;56041;Anual;Alto;Ahorro
573;2024;América Latina;Argentina;48;Abogado;214352;Alta;Sí;8;Bonos;40573;Anual;Bajo;Diversificación
574;2023;Norteamérica;Estados Unidos;39;Médico;134641;Alta;No;0;Fondos Mutuos;17998;Semestral;Alto;Diversificación
575;2024;Norteamérica;Canadá;44;Programador;199815;Alta;Sí;1;Fondos Mutuos;48881;Mensual;Bajo;Diversificación
576;2024;Europa;Italia;38;Diseñador;72501;Media;No;0;Inmobiliario;11769;Semestral;Bajo;Diversificación
577;2024;Norteamérica;Estados Unidos;37;Contador;225524;Alta;No;0;Fondos Mutuos;86899;Mensual;Medio;Ahorro
578;2023;América Latina;Colombia;26;Ingeniero;404094;Alta;Sí;7;Criptomonedas;57159;Anual;Medio;Diversificación
579;2023;Europa;Francia;52;Abogado;460339;Alta;Sí;2;Fondos Mutuos;17359;Mensual;Bajo;Ganancia Rápida
580;2023;Norteamérica;Canadá;26;Programador;338545;Alta;No;0;Bonos;15713;Semestral;Bajo;Retiro
581;2022;Europa;Alemania;45;Arquitecto;183002;Alta;No;0;Criptomonedas;45676;Semestral;Alto;Ganancia Rápida
582;2024;América Latina;Chile;34;Arquitecto;138613;Alta;Sí;1;Fondos Mutuos;34230;Mensual;Alto;Ganancia Rápida
583;2023;Europa;España;35;Médico;348165;Alta;No;0;Acciones;85739;Mensual;Alto;Ahorro
584;2022;Europa;España;26;Contador;316295;Alta;Sí;4;Bonos;92672;Anual;Medio;Ganancia Rápida
585;2022;Europa;Italia;41;Ingeniero;434948;Alta;Sí;1;Bonos;92148;Mensual;Medio;Ganancia Rápida
586;2024;Norteamérica;Canadá;42;Programador;71828;Media;Sí;1;Inmobiliario;34146;Semestral;Medio;Ganancia Rápida
587;2023;Norteamérica;Canadá;25;Empresario;114126;Alta;Sí;3;Fondos Mutuos;32897;Mensual;Medio;Retiro
588;2023;Norteamérica;Canadá;27;Programador;343934;Alta;No;0;Bonos;17365;Anual;Alto;Ganancia Rápida
589;2023;Norteamérica;Canadá;39;Contador;385788;Alta;Sí;8;Fondos Mutuos;19841;Mensual;Medio;Diversificación
590;2022;América Latina;Brasil;39;Estudiante;95798;Media;Sí;7;Fondos Mutuos;24023;Anual;Bajo;Ahorro
591;2024;Europa;Reino Unido;49;Contador;253114;Alta;No;0;Inmobiliario;15081;Mensual;Medio;Diversificación
592;2023;Europa;Reino Unido;36;Diseñador;403935;Alta;Sí;1;Inmobiliario;92248;Mensual;Bajo;Ahorro
593;2024;Europa;Italia;36;Contador;159205;Alta;Sí;8;Acciones;4197;Semestral;Alto;Ganancia Rápida
594;2023;Norteamérica;Canadá;32;Diseñador;455873;Alta;No;0;Fondos Mutuos;900;Mensual;Bajo;Ganancia Rápida
595;2023;Europa;España;18;Contador;374823;Alta;No;0;Fondos Mutuos;44920;Anual;Alto;Diversificación
596;2024;Europa;Reino Unido;32;Empresario;233452;Alta;Sí;3;Fondos Mutuos;59553;Mensual;Medio;Diversificación
597;2022;América Latina;Argentina;40;Abogado;309625;Alta;Sí;5;Fondos Mutuos;11141;Semestral;Bajo;Diversificación
598;2024;América Latina;Colombia;49;Abogado;447914;Alta;No;0;Inmobiliario;52202;Semestral;Bajo;Ganancia Rápida
599;2023;Europa;Francia;50;Arquitecto;383488;Alta;Sí;6;Fondos Mutuos;56693;Semestral;Bajo;Diversificación
600;2023;América Latina;Argentina;40;Programador;107341;Alta;Sí;3;Inmobiliario;3227;Anual;Bajo;Diversificación
601;2022;Norteamérica;Estados Unidos;20;Arquitecto;169098;Alta;No;0;Bonos;80873;Mensual;Alto;Ganancia Rápida
602;2023;Europa;Alemania;41;Profesor;188462;Alta;Sí;6;Acciones;91048;Mensual;Bajo;Diversificación
603;2023;Norteamérica;Estados Unidos;26;Diseñador;71681;Media;No;0;Criptomonedas;32986;Mensual;Bajo;Diversificación
604;2022;Norteamérica;Canadá;29;Diseñador;147832;Alta;No;0;Fondos Mutuos;71800;Semestral;Alto;Ganancia Rápida
605;2024;Europa;España;31;Programador;79378;Media;Sí;6;Fondos Mutuos;2408;Anual;Alto;Ahorro
606;2023;Europa;España;37;Abogado;273327;Alta;Sí;8;Criptomonedas;15316;Semestral;Bajo;Diversificación
607;2023;Europa;Francia;54;Ingeniero;380689;Alta;Sí;6;Acciones;65116;Semestral;Medio;Retiro
608;2024;América Latina;Colombia;39;Ingeniero;14620;Baja;Sí;7;Criptomonedas;5748;Anual;Bajo;Retiro
609;2024;América Latina;Colombia;47;Profesor;398448;Alta;Sí;1;Fondos Mutuos;34410;Anual;Medio;Ahorro
610;2024;Norteamérica;Estados Unidos;52;Programador;180222;Alta;Sí;5;Fondos Mutuos;38945;Semestral;Medio;Ganancia Rápida
611;2023;América Latina;Chile;42;Contador;320500;Alta;No;0;Inmobiliario;50927;Anual;Bajo;Ahorro
612;2024;América Latina;Colombia;51;Empresario;177179;Alta;Sí;3;Criptomonedas;21037;Mensual;Medio;Diversificación
613;2023;América Latina;México;35;Estudiante;153373;Alta;Sí;3;Acciones;5487;Mensual;Alto;Diversificación
614;2022;Norteamérica;Estados Unidos;34;Abogado;116539;Alta;No;0;Bonos;43885;Semestral;Alto;Ganancia Rápida
615;2024;América Latina;Colombia;34;Empresario;58596;Media;Sí;3;Acciones;16875;Mensual;Medio;Diversificación
616;2023;América Latina;Colombia;50;Arquitecto;83767;Media;Sí;6;Bonos;22630;Mensual;Medio;Retiro
617;2023;Europa;Alemania;45;Diseñador;467337;Alta;No;0;Acciones;33671;Anual;Alto;Retiro
618;2024;América Latina;México;29;Diseñador;262400;Alta;Sí;3;Fondos Mutuos;27526;Semestral;Bajo;Ahorro
619;2023;América Latina;México;44;Profesor;282479;Alta;No;0;Bonos;31578;Mensual;Medio;Ganancia Rápida
620;2023;Norteamérica;Canadá;42;Diseñador;87098;Media;Sí;7;Bonos;5832;Mensual;Medio;Ganancia Rápida
621;2022;Norteamérica;Canadá;50;Programador;147260;Alta;Sí;6;Criptomonedas;34932;Semestral;Alto;Retiro
622;2023;Europa;Francia;18;Estudiante;450889;Alta;Sí;8;Fondos Mutuos;57265;Semestral;Medio;Ahorro
623;2023;Europa;Italia;43;Arquitecto;370298;Alta;Sí;4;Bonos;21333;Mensual;Bajo;Retiro
624;2023;América Latina;Colombia;33;Médico;328222;Alta;Sí;7;Criptomonedas;77009;Mensual;Medio;Ganancia Rápida
625;2022;Norteamérica;Canadá;44;Empresario;195155;Alta;Sí;1;Acciones;21855;Anual;Medio;Diversificación
626;2023;Norteamérica;Estados Unidos;32;Estudiante;68228;Media;No;0;Inmobiliario;10796;Semestral;Alto;Retiro
627;2024;Europa;Francia;54;Arquitecto;51245;Media;Sí;6;Bonos;16613;Anual;Bajo;Ganancia Rápida
628;2024;Europa;Reino Unido;53;Profesor;476886;Alta;No;0;Inmobiliario;80481;Semestral;Alto;Retiro
629;2024;Norteamérica;Canadá;37;Diseñador;146744;Alta;Sí;3;Inmobiliario;25340;Anual;Medio;Retiro
630;2024;América Latina;México;43;Médico;278547;Alta;Sí;3;Bonos;17322;Anual;Alto;Diversificación
631;2023;Europa;Francia;48;Programador;383811;Alta;Sí;7;Acciones;48683;Mensual;Bajo;Retiro
632;2022;Europa;Italia;47;Programador;82956;Media;Sí;3;Bonos;25295;Semestral;Medio;Ahorro
633;2024;Europa;Francia;24;Empresario;257712;Alta;Sí;6;Criptomonedas;82436;Mensual;Alto;Retiro
634;2023;América Latina;Chile;42;Médico;65428;Media;Sí;5;Bonos;29036;Semestral;Medio;Ganancia Rápida
635;2024;Europa;España;33;Contador;207666;Alta;Sí;7;Fondos Mutuos;95959;Semestral;Medio;Ganancia Rápida
636;2022;Norteamérica;Canadá;37;Empresario;489566;Alta;Sí;2;Criptomonedas;35295;Mensual;Medio;Ganancia Rápida
637;2024;Norteamérica;Canadá;37;Médico;316719;Alta;No;0;Criptomonedas;87048;Mensual;Alto;Ahorro
638;2024;Europa;Alemania;41;Médico;275321;Alta;Sí;8;Acciones;60630;Anual;Alto;Ganancia Rápida
639;2023;América Latina;Brasil;31;Estudiante;149690;Alta;No;0;Acciones;21356;Semestral;Alto;Retiro
640;2023;Europa;Alemania;34;Diseñador;231673;Alta;No;0;Bonos;45315;Semestral;Medio;Retiro
641;2022;América Latina;Colombia;51;Profesor;307916;Alta;Sí;2;Inmobiliario;70713;Mensual;Medio;Diversificación
642;2022;América Latina;México;31;Abogado;42481;Media;No;0;Fondos Mutuos;12025;Semestral;Bajo;Ganancia Rápida
643;2024;América Latina;Chile;46;Arquitecto;372834;Alta;Sí;4;Inmobiliario;989;Semestral;Alto;Retiro
644;2023;América Latina;México;52;Contador;410921;Alta;Sí;3;Inmobiliario;32022;Semestral;Medio;Retiro
645;2024;América Latina;Colombia;35;Abogado;204706;Alta;Sí;2;Bonos;98208;Anual;Alto;Ganancia Rápida
646;2024;Norteamérica;Estados Unidos;42;Ingeniero;162424;Alta;No;0;Inmobiliario;68504;Anual;Bajo;Diversificación
647;2023;América Latina;Brasil;47;Contador;465967;Alta;Sí;2;Acciones;53921;Anual;Medio;Retiro
648;2023;América Latina;Brasil;33;Empresario;104650;Alta;No;0;Inmobiliario;36852;Mensual;Bajo;Ganancia Rápida
649;2022;Europa;Italia;46;Abogado;37523;Media;Sí;5;Bonos;16189;Semestral;Bajo;Retiro
650;2023;América Latina;Chile;34;Empresario;136911;Alta;No;0;Criptomonedas;56068;Mensual;Medio;Retiro
651;2022;América Latina;Argentina;47;Diseñador;328860;Alta;Sí;3;Criptomonedas;35529;Semestral;Medio;Ahorro
652;2022;Norteamérica;Canadá;29;Contador;415780;Alta;Sí;3;Acciones;54704;Anual;Bajo;Ahorro
653;2022;América Latina;Brasil;48;Ingeniero;461154;Alta;No;0;Bonos;58360;Anual;Bajo;Ganancia Rápida
654;2023;América Latina;Colombia;41;Diseñador;80139;Media;No;0;Bonos;21233;Mensual;Medio;Ganancia Rápida
655;2022;América Latina;Chile;46;Ingeniero;429555;Alta;Sí;1;Criptomonedas;57244;Mensual;Alto;Ganancia Rápida
656;2024;América Latina;Colombia;61;Contador;306589;Alta;Sí;2;Bonos;822;Anual;Bajo;Ahorro
657;2024;América Latina;Brasil;41;Profesor;496598;Alta;Sí;6;Acciones;11003;Mensual;Bajo;Ahorro
658;2023;Europa;Alemania;48;Contador;148685;Alta;Sí;6;Fondos Mutuos;40025;Anual;Alto;Ganancia Rápida
659;2023;Europa;Alemania;32;Profesor;343878;Alta;Sí;1;Criptomonedas;22311;Mensual;Bajo;Ganancia Rápida
660;2023;Norteamérica;Canadá;50;Estudiante;185415;Alta;Sí;3;Criptomonedas;41024;Mensual;Bajo;Diversificación
661;2022;Europa;Alemania;35;Contador;443256;Alta;Sí;2;Criptomonedas;3464;Mensual;Alto;Ganancia Rápida
662;2022;América Latina;Argentina;37;Profesor;171112;Alta;Sí;5;Fondos Mutuos;35029;Semestral;Alto;Ahorro
663;2024;América Latina;México;28;Médico;202712;Alta;No;0;Fondos Mutuos;93946;Semestral;Alto;Ganancia Rápida
664;2022;Europa;Alemania;51;Médico;382986;Alta;Sí;7;Acciones;88982;Anual;Alto;Diversificación
665;2023;Norteamérica;Canadá;27;Médico;365560;Alta;Sí;7;Bonos;21684;Anual;Medio;Diversificación
666;2023;Norteamérica;Estados Unidos;24;Abogado;166528;Alta;No;0;Criptomonedas;43075;Anual;Medio;Ahorro
667;2022;Norteamérica;Canadá;40;Estudiante;406420;Alta;Sí;6;Fondos Mutuos;58596;Semestral;Alto;Retiro
668;2022;América Latina;Colombia;25;Contador;154000;Alta;Sí;5;Acciones;16084;Anual;Alto;Ganancia Rápida
669;2024;América Latina;México;40;Programador;188368;Alta;Sí;2;Bonos;94088;Semestral;Medio;Ganancia Rápida
670;2024;Europa;España;55;Abogado;301395;Alta;Sí;1;Acciones;47238;Anual;Bajo;Ahorro
671;2024;América Latina;Colombia;56;Estudiante;61484;Media;Sí;6;Fondos Mutuos;883;Anual;Alto;Retiro
672;2023;América Latina;Argentina;35;Diseñador;210953;Alta;Sí;6;Criptomonedas;19894;Semestral;Alto;Retiro
673;2022;Europa;Reino Unido;45;Estudiante;283495;Alta;Sí;1;Fondos Mutuos;59174;Mensual;Alto;Ganancia Rápida
674;2024;Europa;Alemania;52;Estudiante;190732;Alta;Sí;4;Inmobiliario;10118;Mensual;Bajo;Diversificación
675;2024;Europa;Reino Unido;33;Programador;475872;Alta;Sí;3;Fondos Mutuos;17562;Mensual;Medio;Ahorro
676;2023;Norteamérica;Canadá;35;Profesor;104333;Alta;No;0;Criptomonedas;32083;Mensual;Bajo;Ahorro
677;2022;Norteamérica;Estados Unidos;44;Médico;462331;Alta;Sí;7;Criptomonedas;33918;Mensual;Bajo;Ahorro
678;2024;América Latina;Argentina;41;Arquitecto;238245;Alta;Sí;8;Inmobiliario;50981;Mensual;Alto;Retiro
679;2022;América Latina;Argentina;42;Ingeniero;97744;Media;Sí;2;Criptomonedas;38180;Mensual;Bajo;Ahorro
680;2022;Norteamérica;Canadá;44;Ingeniero;198563;Alta;Sí;2;Inmobiliario;17646;Anual;Bajo;Ahorro
681;2022;Europa;España;38;Estudiante;106647;Alta;Sí;3;Inmobiliario;18577;Mensual;Bajo;Ganancia Rápida
682;2023;América Latina;Brasil;38;Contador;15887;Baja;Sí;4;Criptomonedas;4241;Semestral;Alto;Retiro
683;2023;Norteamérica;Estados Unidos;42;Empresario;94904;Media;No;0;Inmobiliario;12061;Semestral;Alto;Ahorro
684;2022;Europa;España;44;Diseñador;130342;Alta;Sí;4;Acciones;41727;Anual;Alto;Retiro
685;2024;América Latina;Colombia;45;Profesor;355464;Alta;No;0;Fondos Mutuos;74797;Mensual;Alto;Ganancia Rápida
686;2024;Europa;Alemania;22;Arquitecto;251301;Alta;Sí;2;Fondos Mutuos;65748;Mensual;Bajo;Diversificación
687;2022;Europa;España;35;Arquitecto;44541;Media;Sí;5;Fondos Mutuos;6177;Anual;Bajo;Retiro
688;2023;Norteamérica;Estados Unidos;38;Profesor;316881;Alta;Sí;5;Fondos Mutuos;47482;Anual;Medio;Ahorro
689;2023;Norteamérica;Canadá;37;Diseñador;336272;Alta;No;0;Inmobiliario;78785;Semestral;Medio;Ahorro
690;2022;Europa;Alemania;40;Profesor;224399;Alta;Sí;2;Acciones;81623;Anual;Medio;Ahorro
691;2024;Europa;España;28;Diseñador;119198;Alta;Sí;4;Inmobiliario;35638;Mensual;Bajo;Ahorro
692;2023;América Latina;Argentina;23;Profesor;393260;Alta;Sí;7;Bonos;96325;Anual;Medio;Ganancia Rápida
693;2023;Europa;España;43;Empresario;439415;Alta;No;0;Bonos;89036;Semestral;Bajo;Retiro
694;2022;Europa;Italia;26;Diseñador;446161;Alta;Sí;8;Inmobiliario;30079;Semestral;Bajo;Retiro
695;2024;América Latina;Brasil;45;Abogado;155907;Alta;Sí;7;Acciones;19595;Anual;Bajo;Ahorro
696;2022;América Latina;México;18;Arquitecto;120825;Alta;No;0;Inmobiliario;4645;Semestral;Bajo;Ahorro
697;2023;Europa;España;47;Arquitecto;124104;Alta;No;0;Inmobiliario;57159;Anual;Medio;Ganancia Rápida
698;2023;América Latina;Argentina;35;Programador;279173;Alta;No;0;Bonos;1180;Mensual;Alto;Diversificación
699;2022;Europa;Francia;49;Ingeniero;74482;Media;Sí;7;Acciones;13356;Semestral;Alto;Ahorro
700;2024;Norteamérica;Canadá;32;Profesor;496851;Alta;No;0;Criptomonedas;8852;Mensual;Bajo;Retiro
701;2023;Norteamérica;Canadá;26;Abogado;481929;Alta;Sí;6;Bonos;8003;Mensual;Alto;Diversificación
702;2022;Norteamérica;Estados Unidos;47;Empresario;118279;Alta;Sí;4;Fondos Mutuos;2476;Semestral;Bajo;Retiro
703;2024;Norteamérica;Estados Unidos;46;Estudiante;444837;Alta;Sí;1;Acciones;44776;Anual;Alto;Retiro
704;2024;Europa;España;20;Contador;294117;Alta;Sí;2;Inmobiliario;48494;Semestral;Medio;Ganancia Rápida
705;2022;Europa;Italia;43;Médico;53855;Media;Sí;5;Fondos Mutuos;23710;Semestral;Alto;Ahorro
706;2022;Europa;Italia;36;Empresario;360085;Alta;No;0;Bonos;1942;Anual;Medio;Retiro
707;2022;Europa;Italia;33;Ingeniero;202799;Alta;Sí;7;Inmobiliario;43665;Mensual;Medio;Retiro
