Región;País;Rango de Edad;Profesión;Clase Social; Ingresos Anuales (USD) ;Invierte;Instrumento de Inversión
Europa;Países Bajos;36-45;Contador;Alta; $ 347.256,38 ;Si;Fondos de inversiÃ³n
Europa;España;66+;Abogado;Baja; $ 12.555,44 ;Si;No invierte
Europa;Alemania;18-25;Empresario;Baja; $ 19.074,12 ;No;No invierte
NorteAmérica;EE.UU.;46-55;Científico;Media; $ 53.494,79 ;No;No invierte
NorteAmérica;EE.UU.;66+;Médico;Alta; $ 322.115,50 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;26-35;Funcionario;Baja; $ 19.786,60 ;No;No invierte
Europa;Italia;56-65;Científico;Baja; $ 13.675,99 ;Si;Oro
NorteAmérica;Canadá;66+;Funcionario;Baja; $ 19.859,49 ;Si;No invierte
NorteAmérica;EE.UU.;66+;Desarrollador;Media; $ 56.554,35 ;Si;No invierte
Europa;España;66+;Funcionario;Baja; $ 13.921,86 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;66+;Desarrollador;Baja; $ 13.382,43 ;Si;Acciones
NorteAmérica;Canadá;66+;Desarrollador;Baja; $ 15.503,21 ;Si;Acciones
América Latina;Colombia;18-25;Científico;Baja; $ 6.732,51 ;Si;Bienes Raíces
América Latina;Chile;56-65;Funcionario;Baja; $ 18.715,35 ;No;No invierte
NorteAmérica;Canadá;18-25;Ingeniero;Alta; $ 354.596,98 ;No;No invierte
NorteAmérica;EE.UU.;46-55;Funcionario;Media; $ 72.979,71 ;Si;Criptomonedas
Europa;Francia;26-35;Científico;Baja; $ 8.892,71 ;No;No invierte
NorteAmérica;Canadá;66+;Contador;Baja; $ 14.284,39 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Desarrollador;Alta; $ 374.324,55 ;Si;Bonos
América Latina;Brasil;36-45;Docente;Media; $ 64.075,01 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Científico;Media; $ 72.785,92 ;Si;Criptomonedas
América Latina;México;36-45;Científico;Media; $ 70.975,91 ;No;No invierte
Europa;Reino Unido;26-35;Contador;Media; $ 63.557,28 ;Si;Criptomonedas
América Latina;Argentina;56-65;Médico;Baja; $ 14.615,81 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Empresario;Media; $ 65.365,36 ;Si;Bienes Raíces
Europa;Alemania;56-65;Docente;Alta; $ 358.253,56 ;Si;Oro
NorteAmérica;EE.UU.;46-55;Abogado;Alta; $ 226.285,99 ;No;No invierte
América Latina;México;56-65;Funcionario;Alta; $ 128.516,53 ;Si;Criptomonedas
América Latina;Brasil;36-45;Científico;Alta; $ 402.343,82 ;Si;Criptomonedas
América Latina;México;46-55;Docente;Baja; $ 12.073,84 ;Si;Oro
NorteAmérica;EE.UU.;36-45;Ingeniero;Baja; $ 6.780,64 ;Si;Bonos
NorteAmérica;EE.UU.;46-55;Contador;Alta; $ 393.942,15 ;No;No invierte
Europa;Alemania;26-35;Docente;Baja; $ 16.242,86 ;No;No invierte
Europa;Italia;66+;Abogado;Media; $ 23.642,34 ;Si;Bienes Raíces
Europa;Alemania;36-45;Artista;Baja; $ 12.726,46 ;Si;Acciones
América Latina;Argentina;18-25;Desarrollador;Alta; $ 414.260,86 ;No;No invierte
Europa;España;66+;Contador;Alta; $ 382.532,77 ;Si;No invierte
América Latina;Argentina;56-65;Funcionario;Baja; $ 14.836,50 ;No;No invierte
NorteAmérica;Canadá;26-35;Médico;Baja; $ 10.479,63 ;Si;Oro
NorteAmérica;Canadá;26-35;Artista;Media; $ 69.347,88 ;Si;Bonos
América Latina;Chile;26-35;Docente;Baja; $ 11.485,70 ;Si;No invierte
NorteAmérica;Canadá;56-65;Docente;Baja; $ 9.936,99 ;Si;Acciones
Europa;Italia;18-25;Contador;Media; $ 51.209,92 ;No;No invierte
América Latina;Colombia;18-25;Médico;Baja; $ 15.308,66 ;Si;Criptomonedas
Europa;Alemania;66+;Desarrollador;Alta; $ 406.482,07 ;Si;Acciones
América Latina;Colombia;26-35;Funcionario;Alta; $ 391.129,78 ;Si;Acciones
Europa;Países Bajos;66+;Empresario;Baja; $ 9.432,43 ;Si;Criptomonedas
NorteAmérica;EE.UU.;56-65;Artista;Alta; $ 439.584,10 ;Si;Criptomonedas
América Latina;Colombia;66+;Abogado;Media; $ 54.298,25 ;Si;Oro
Europa;Países Bajos;26-35;Funcionario;Baja; $ 15.443,94 ;No;No invierte
NorteAmérica;Canadá;18-25;Médico;Alta; $ 88.148,79 ;No;No invierte
Europa;Alemania;26-35;Médico;Alta; $ 195.142,12 ;No;No invierte
NorteAmérica;Canadá;26-35;Desarrollador;Baja; $ 17.146,19 ;Si;No invierte
Europa;Francia;46-55;Científico;Baja; $ 7.929,15 ;Si;Criptomonedas
NorteAmérica;EE.UU.;66+;Desarrollador;Alta; $ 358.147,25 ;Si;Bienes Raíces
América Latina;Perú;26-35;Artista;Media; $ 44.033,50 ;Si;Bonos
NorteAmérica;EE.UU.;46-55;Ingeniero;Alta; $ 398.533,15 ;Si;Criptomonedas
Europa;Reino Unido;66+;Científico;Alta; $ 343.934,72 ;No;No invierte
Europa;España;46-55;Contador;Baja; $ 15.462,74 ;Si;No invierte
Europa;Francia;26-35;Artista;Baja; $ 7.511,49 ;No;No invierte
Europa;Países Bajos;18-25;Abogado;Media; $ 28.839,41 ;Si;No invierte
América Latina;Colombia;26-35;Empresario;Media; $ 66.610,86 ;Si;Bonos
NorteAmérica;Canadá;18-25;Docente;Baja; $ 13.292,92 ;Si;Criptomonedas
Europa;Reino Unido;18-25;Desarrollador;Media; $ 78.376,36 ;Si;Bonos
Europa;Países Bajos;56-65;Empresario;Alta; $ 361.623,32 ;No;No invierte
Europa;Francia;46-55;Empresario;Media; $ 53.017,00 ;Si;Acciones
NorteAmérica;Canadá;36-45;Desarrollador;Alta; $ 251.628,09 ;Si;Oro
América Latina;Perú;56-65;Contador;Baja; $ 11.782,55 ;Si;Bonos
América Latina;México;36-45;Médico;Media; $ 45.605,33 ;Si;Fondos de inversiÃ³n
Europa;España;66+;Contador;Baja; $ 17.087,69 ;Si;Bonos
NorteAmérica;EE.UU.;66+;Empresario;Baja; $ 11.960,89 ;No;No invierte
América Latina;Argentina;56-65;Funcionario;Alta; $ 82.714,94 ;Si;Bonos
Europa;España;56-65;Científico;Alta; $ 206.973,03 ;Si;Bienes Raíces
NorteAmérica;Canadá;26-35;Funcionario;Alta; $ 217.178,65 ;Si;Fondos de inversiÃ³n
Europa;Francia;46-55;Médico;Alta; $ 194.050,79 ;Si;Criptomonedas
América Latina;Brasil;26-35;Ingeniero;Alta; $ 397.732,52 ;Si;Bonos
Europa;Alemania;56-65;Contador;Media; $ 55.008,67 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;56-65;Empresario;Media; $ 41.166,83 ;No;No invierte
NorteAmérica;EE.UU.;66+;Docente;Media; $ 75.291,51 ;Si;Bonos
América Latina;Argentina;56-65;Empresario;Baja; $ 14.357,77 ;Si;Criptomonedas
América Latina;Chile;56-65;Artista;Baja; $ 18.191,74 ;No;No invierte
América Latina;Colombia;18-25;Artista;Media; $ 33.102,29 ;No;No invierte
Europa;Países Bajos;46-55;Abogado;Media; $ 21.026,58 ;Si;Oro
NorteAmérica;EE.UU.;46-55;Artista;Baja; $ 10.339,20 ;Si;Acciones
NorteAmérica;Canadá;18-25;Artista;Baja; $ 9.153,02 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Abogado;Baja; $ 15.142,63 ;Si;No invierte
NorteAmérica;Canadá;66+;Docente;Alta; $ 471.643,94 ;Si;Acciones
NorteAmérica;EE.UU.;26-35;Artista;Alta; $ 145.353,75 ;Si;No invierte
Europa;Países Bajos;26-35;Artista;Alta; $ 236.208,69 ;No;No invierte
América Latina;Colombia;46-55;Artista;Alta; $ 497.861,34 ;No;No invierte
América Latina;Chile;46-55;Funcionario;Alta; $ 329.228,61 ;No;No invierte
NorteAmérica;EE.UU.;56-65;Empresario;Baja; $ 13.875,39 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;56-65;Contador;Alta; $ 153.220,56 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Artista;Media; $ 44.645,33 ;Si;Criptomonedas
América Latina;México;66+;Artista;Alta; $ 113.276,91 ;Si;Bienes Raíces
América Latina;México;36-45;Contador;Media; $ 75.993,06 ;No;No invierte
Europa;Países Bajos;18-25;Ingeniero;Baja; $ 6.491,95 ;Si;Oro
América Latina;Colombia;18-25;Médico;Alta; $ 259.407,39 ;No;No invierte
Europa;Italia;56-65;Ingeniero;Media; $ 66.450,78 ;Si;Criptomonedas
Europa;España;18-25;Empresario;Baja; $ 19.461,08 ;Si;Bienes Raíces
Europa;Francia;46-55;Científico;Alta; $ 486.600,06 ;Si;No invierte
NorteAmérica;Canadá;66+;Contador;Alta; $ 139.306,81 ;Si;Bienes Raíces
Europa;Italia;18-25;Médico;Alta; $ 132.068,67 ;Si;Bonos
NorteAmérica;Canadá;66+;Empresario;Alta; $ 292.868,13 ;Si;Acciones
Europa;España;46-55;Abogado;Media; $ 30.562,35 ;Si;Oro
Europa;Reino Unido;46-55;Docente;Alta; $ 167.605,30 ;Si;Fondos de inversiÃ³n
Europa;Reino Unido;26-35;Contador;Baja; $ 14.675,90 ;Si;No invierte
NorteAmérica;EE.UU.;36-45;Científico;Media; $ 38.514,26 ;Si;Criptomonedas
NorteAmérica;Canadá;26-35;Docente;Media; $ 51.563,16 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;26-35;Científico;Alta; $ 376.878,95 ;No;No invierte
NorteAmérica;Canadá;36-45;Desarrollador;Media; $ 78.062,54 ;Si;Oro
América Latina;Perú;18-25;Contador;Baja; $ 18.029,86 ;Si;Bienes Raíces
Europa;Alemania;66+;Abogado;Baja; $ 10.880,14 ;Si;Oro
América Latina;Chile;66+;Empresario;Media; $ 70.272,47 ;No;No invierte
Europa;Italia;66+;Funcionario;Media; $ 70.073,52 ;No;No invierte
América Latina;Chile;66+;Científico;Media; $ 43.462,87 ;Si;No invierte
Europa;Italia;26-35;Docente;Baja; $ 18.566,31 ;Si;Criptomonedas
NorteAmérica;EE.UU.;36-45;Funcionario;Baja; $ 16.709,97 ;Si;Bonos
Europa;Italia;18-25;Empresario;Alta; $ 215.512,15 ;Si;No invierte
América Latina;México;26-35;Médico;Media; $ 63.843,92 ;Si;Oro
América Latina;Brasil;66+;Artista;Media; $ 37.299,43 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;18-25;Docente;Baja; $ 12.932,83 ;Si;Bonos
América Latina;Perú;18-25;Contador;Media; $ 70.269,23 ;Si;Bienes Raíces
América Latina;Perú;56-65;Empresario;Baja; $ 12.286,46 ;Si;Acciones
NorteAmérica;Canadá;46-55;Artista;Alta; $ 140.753,98 ;Si;Bonos
América Latina;México;36-45;Artista;Alta; $ 412.237,67 ;Si;Fondos de inversiÃ³n
Europa;España;26-35;Artista;Baja; $ 17.672,10 ;Si;No invierte
NorteAmérica;Canadá;46-55;Empresario;Baja; $ 13.461,50 ;Si;Criptomonedas
América Latina;Perú;26-35;Artista;Alta; $ 135.779,44 ;Si;Acciones
NorteAmérica;Canadá;36-45;Abogado;Alta; $ 113.301,23 ;Si;Acciones
Europa;Italia;26-35;Artista;Baja; $ 11.649,46 ;Si;Bienes Raíces
NorteAmérica;Canadá;26-35;Científico;Baja; $ 14.367,72 ;Si;Oro
NorteAmérica;EE.UU.;56-65;Médico;Media; $ 33.121,54 ;Si;Bonos
América Latina;Perú;66+;Abogado;Media; $ 44.850,91 ;No;No invierte
América Latina;Colombia;56-65;Abogado;Baja; $ 11.220,49 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Abogado;Media; $ 64.010,34 ;Si;Acciones
NorteAmérica;Canadá;18-25;Empresario;Baja; $ 15.741,56 ;No;No invierte
Europa;Reino Unido;18-25;Médico;Media; $ 31.813,65 ;Si;Oro
América Latina;Argentina;46-55;Abogado;Baja; $ 15.550,05 ;No;No invierte
NorteAmérica;EE.UU.;66+;Contador;Alta; $ 156.401,56 ;Si;Oro
NorteAmérica;EE.UU.;36-45;Contador;Baja; $ 10.335,59 ;No;No invierte
NorteAmérica;Canadá;46-55;Abogado;Media; $ 33.052,19 ;No;No invierte
Europa;Reino Unido;18-25;Científico;Media; $ 39.365,19 ;Si;Bienes Raíces
Europa;Francia;26-35;Ingeniero;Baja; $ 6.751,47 ;Si;Acciones
NorteAmérica;Canadá;56-65;Abogado;Alta; $ 431.914,91 ;Si;Oro
Europa;Francia;26-35;Desarrollador;Baja; $ 10.355,79 ;Si;Bienes Raíces
Europa;Francia;36-45;Funcionario;Alta; $ 342.266,74 ;Si;Acciones
Europa;Italia;46-55;Desarrollador;Alta; $ 476.973,49 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;36-45;Artista;Alta; $ 276.374,86 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;46-55;Ingeniero;Alta; $ 268.603,10 ;Si;No invierte
América Latina;Perú;18-25;Empresario;Baja; $ 14.257,95 ;No;No invierte
América Latina;Perú;26-35;Desarrollador;Baja; $ 15.663,09 ;Si;Bonos
NorteAmérica;Canadá;46-55;Médico;Media; $ 37.286,49 ;Si;Bienes Raíces
Europa;España;46-55;Docente;Media; $ 54.940,47 ;Si;Acciones
Europa;Alemania;18-25;Contador;Alta; $ 193.487,70 ;No;No invierte
América Latina;Chile;36-45;Funcionario;Alta; $ 424.095,37 ;No;No invierte
Europa;Alemania;46-55;Ingeniero;Media; $ 61.553,41 ;No;No invierte
América Latina;Brasil;56-65;Docente;Media; $ 38.840,42 ;Si;Bienes Raíces
América Latina;Perú;66+;Ingeniero;Baja; $ 14.207,39 ;Si;Bienes Raíces
NorteAmérica;Canadá;36-45;Funcionario;Baja; $ 19.235,72 ;Si;Criptomonedas
América Latina;México;36-45;Ingeniero;Media; $ 23.979,59 ;Si;No invierte
América Latina;Perú;56-65;Médico;Media; $ 43.800,71 ;Si;Bienes Raíces
NorteAmérica;Canadá;18-25;Abogado;Alta; $ 394.551,08 ;Si;Acciones
NorteAmérica;EE.UU.;26-35;Empresario;Baja; $ 6.379,22 ;No;No invierte
América Latina;Perú;46-55;Médico;Alta; $ 375.282,75 ;Si;Acciones
NorteAmérica;Canadá;56-65;Empresario;Baja; $ 5.646,44 ;No;No invierte
América Latina;México;36-45;Desarrollador;Alta; $ 244.616,97 ;Si;Criptomonedas
América Latina;México;26-35;Abogado;Alta; $ 206.335,75 ;Si;Oro
NorteAmérica;EE.UU.;66+;Artista;Baja; $ 18.654,10 ;No;No invierte
NorteAmérica;Canadá;18-25;Artista;Baja; $ 10.285,71 ;Si;Bonos
América Latina;Brasil;46-55;Científico;Media; $ 25.920,06 ;Si;Fondos de inversiÃ³n
Europa;Alemania;26-35;Artista;Baja; $ 10.538,39 ;No;No invierte
Europa;Alemania;18-25;Médico;Alta; $ 133.305,80 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;26-35;Ingeniero;Baja; $ 15.487,79 ;Si;Fondos de inversiÃ³n
Europa;Francia;26-35;Empresario;Alta; $ 418.805,39 ;No;No invierte
América Latina;Brasil;18-25;Empresario;Media; $ 65.462,07 ;Si;No invierte
Europa;Países Bajos;26-35;Docente;Media; $ 67.395,02 ;Si;Criptomonedas
América Latina;Argentina;26-35;Empresario;Media; $ 27.822,94 ;Si;Bienes Raíces
América Latina;Brasil;66+;Abogado;Alta; $ 157.876,49 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Funcionario;Baja; $ 6.283,00 ;Si;Criptomonedas
América Latina;México;66+;Artista;Media; $ 46.219,43 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Funcionario;Media; $ 78.145,73 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;56-65;Ingeniero;Alta; $ 360.425,44 ;Si;No invierte
NorteAmérica;EE.UU.;56-65;Docente;Media; $ 77.631,50 ;Si;Acciones
América Latina;Chile;26-35;Científico;Baja; $ 11.752,08 ;Si;Bonos
América Latina;México;36-45;Científico;Alta; $ 410.031,93 ;No;No invierte
Europa;España;36-45;Artista;Media; $ 41.078,01 ;Si;Acciones
Europa;España;36-45;Médico;Alta; $ 454.283,72 ;Si;No invierte
América Latina;Perú;18-25;Artista;Baja; $ 13.191,38 ;Si;Oro
NorteAmérica;Canadá;36-45;Docente;Alta; $ 139.777,93 ;Si;Fondos de inversiÃ³n
Europa;España;18-25;Ingeniero;Baja; $ 13.347,29 ;No;No invierte
América Latina;Brasil;36-45;Docente;Alta; $ 285.860,59 ;No;No invierte
NorteAmérica;Canadá;66+;Médico;Media; $ 50.049,23 ;Si;Acciones
América Latina;Argentina;46-55;Científico;Baja; $ 11.652,24 ;Si;Criptomonedas
América Latina;Chile;26-35;Empresario;Media; $ 74.044,35 ;Si;Bonos
América Latina;Brasil;36-45;Artista;Alta; $ 330.080,79 ;Si;No invierte
América Latina;Brasil;46-55;Empresario;Media; $ 24.739,45 ;Si;Criptomonedas
NorteAmérica;EE.UU.;18-25;Desarrollador;Media; $ 20.347,24 ;Si;Bonos
Europa;Francia;46-55;Ingeniero;Alta; $ 343.119,34 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;18-25;Funcionario;Alta; $ 483.049,32 ;Si;Acciones
Europa;Italia;46-55;Ingeniero;Baja; $ 8.626,64 ;No;No invierte
Europa;Francia;56-65;Científico;Media; $ 77.522,83 ;Si;Bonos
Europa;Francia;56-65;Empresario;Media; $ 24.197,43 ;Si;Bienes Raíces
América Latina;Argentina;26-35;Docente;Baja; $ 9.517,70 ;Si;Bienes Raíces
Europa;Países Bajos;26-35;Desarrollador;Baja; $ 6.291,80 ;Si;Criptomonedas
Europa;Reino Unido;18-25;Empresario;Baja; $ 9.704,81 ;No;No invierte
América Latina;Brasil;56-65;Ingeniero;Media; $ 43.644,46 ;Si;Bonos
América Latina;Argentina;66+;Médico;Alta; $ 426.164,50 ;No;No invierte
Europa;Países Bajos;66+;Científico;Baja; $ 15.363,03 ;Si;Bienes Raíces
América Latina;Argentina;18-25;Docente;Media; $ 60.197,54 ;Si;Criptomonedas
Europa;Alemania;46-55;Contador;Media; $ 31.990,93 ;Si;Bonos
América Latina;Argentina;36-45;Funcionario;Alta; $ 490.022,53 ;No;No invierte
NorteAmérica;Canadá;26-35;Desarrollador;Media; $ 21.194,91 ;Si;Acciones
Europa;Francia;26-35;Docente;Media; $ 68.960,69 ;No;No invierte
América Latina;Perú;56-65;Científico;Alta; $ 220.738,93 ;Si;Fondos de inversiÃ³n
Europa;Países Bajos;46-55;Médico;Alta; $ 287.811,42 ;No;No invierte
NorteAmérica;Canadá;56-65;Contador;Alta; $ 360.922,07 ;No;No invierte
NorteAmérica;Canadá;18-25;Científico;Alta; $ 484.612,58 ;Si;Bonos
Europa;Italia;56-65;Científico;Baja; $ 10.488,74 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;26-35;Artista;Baja; $ 17.297,14 ;Si;No invierte
Europa;Francia;66+;Abogado;Alta; $ 371.436,12 ;Si;Bonos
NorteAmérica;Canadá;18-25;Científico;Baja; $ 5.421,65 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;26-35;Docente;Media; $ 37.371,39 ;Si;Bienes Raíces
Europa;Alemania;66+;Artista;Media; $ 42.303,27 ;Si;Bonos
NorteAmérica;Canadá;18-25;Desarrollador;Alta; $ 358.154,07 ;Si;Bienes Raíces
Europa;Reino Unido;26-35;Funcionario;Alta; $ 265.468,76 ;Si;Oro
América Latina;Argentina;56-65;Empresario;Alta; $ 303.277,27 ;Si;Oro
América Latina;Argentina;36-45;Ingeniero;Media; $ 27.216,20 ;No;No invierte
América Latina;México;26-35;Artista;Media; $ 54.133,79 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;18-25;Abogado;Alta; $ 209.561,14 ;Si;Oro
NorteAmérica;Canadá;56-65;Funcionario;Alta; $ 128.642,31 ;Si;Bonos
América Latina;Brasil;26-35;Ingeniero;Media; $ 55.557,36 ;Si;Criptomonedas
Europa;Reino Unido;26-35;Ingeniero;Baja; $ 6.055,15 ;Si;No invierte
NorteAmérica;EE.UU.;36-45;Artista;Alta; $ 415.372,89 ;Si;Oro
Europa;Reino Unido;18-25;Funcionario;Alta; $ 237.722,06 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;66+;Docente;Media; $ 66.352,34 ;Si;Oro
Europa;Países Bajos;26-35;Empresario;Baja; $ 14.706,40 ;Si;No invierte
Europa;Reino Unido;26-35;Contador;Baja; $ 13.832,92 ;Si;Fondos de inversiÃ³n
América Latina;Brasil;26-35;Funcionario;Media; $ 65.485,45 ;Si;Bienes Raíces
Europa;Italia;36-45;Artista;Baja; $ 13.810,09 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Desarrollador;Media; $ 45.626,50 ;Si;Fondos de inversiÃ³n
Europa;Reino Unido;66+;Funcionario;Baja; $ 14.215,87 ;No;No invierte
NorteAmérica;Canadá;36-45;Docente;Alta; $ 436.213,94 ;Si;Bienes Raíces
América Latina;Brasil;66+;Docente;Alta; $ 291.506,47 ;No;No invierte
América Latina;Argentina;36-45;Docente;Alta; $ 143.808,66 ;No;No invierte
NorteAmérica;Canadá;56-65;Abogado;Baja; $ 15.525,39 ;No;No invierte
América Latina;Argentina;46-55;Médico;Alta; $ 205.222,61 ;No;No invierte
Europa;España;36-45;Científico;Baja; $ 19.749,81 ;Si;Fondos de inversiÃ³n
América Latina;Colombia;66+;Médico;Baja; $ 7.227,91 ;Si;Acciones
NorteAmérica;EE.UU.;26-35;Funcionario;Baja; $ 14.470,12 ;Si;Bonos
Europa;Reino Unido;26-35;Científico;Baja; $ 18.434,85 ;Si;Bonos
Europa;Países Bajos;26-35;Docente;Baja; $ 13.634,20 ;No;No invierte
NorteAmérica;Canadá;36-45;Docente;Media; $ 46.490,32 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;18-25;Funcionario;Media; $ 24.545,06 ;Si;Oro
Europa;Italia;36-45;Médico;Alta; $ 391.760,54 ;Si;Bonos
América Latina;Perú;66+;Médico;Alta; $ 285.079,92 ;No;No invierte
NorteAmérica;EE.UU.;66+;Desarrollador;Alta; $ 429.603,29 ;Si;No invierte
NorteAmérica;EE.UU.;66+;Científico;Media; $ 55.108,59 ;No;No invierte
América Latina;Perú;18-25;Desarrollador;Baja; $ 10.501,51 ;Si;Bonos
Europa;Francia;18-25;Abogado;Media; $ 77.375,42 ;Si;Fondos de inversiÃ³n
América Latina;Colombia;46-55;Empresario;Media; $ 35.622,23 ;Si;Fondos de inversiÃ³n
Europa;Alemania;66+;Científico;Baja; $ 15.904,57 ;Si;Bonos
NorteAmérica;EE.UU.;26-35;Ingeniero;Media; $ 76.275,69 ;Si;No invierte
Europa;Reino Unido;66+;Ingeniero;Media; $ 39.486,22 ;Si;Acciones
Europa;Países Bajos;46-55;Funcionario;Alta; $ 299.248,73 ;Si;Bonos
NorteAmérica;Canadá;46-55;Abogado;Media; $ 39.437,31 ;No;No invierte
América Latina;México;36-45;Desarrollador;Baja; $ 17.757,71 ;Si;Oro
NorteAmérica;Canadá;46-55;Desarrollador;Media; $ 74.962,19 ;Si;Acciones
NorteAmérica;EE.UU.;26-35;Médico;Alta; $ 321.637,23 ;Si;Acciones
América Latina;Argentina;56-65;Funcionario;Media; $ 48.625,05 ;No;No invierte
Europa;España;46-55;Artista;Baja; $ 16.097,83 ;Si;Oro
América Latina;Colombia;56-65;Ingeniero;Alta; $ 440.800,57 ;No;No invierte
NorteAmérica;EE.UU.;66+;Científico;Baja; $ 16.721,72 ;Si;Criptomonedas
América Latina;Chile;36-45;Artista;Baja; $ 16.227,14 ;No;No invierte
NorteAmérica;Canadá;26-35;Ingeniero;Media; $ 61.055,90 ;Si;Criptomonedas
Europa;España;26-35;Médico;Baja; $ 11.234,09 ;Si;Criptomonedas
NorteAmérica;Canadá;36-45;Artista;Media; $ 56.235,84 ;Si;Fondos de inversiÃ³n
Europa;España;66+;Científico;Baja; $ 14.391,77 ;Si;Bonos
NorteAmérica;Canadá;26-35;Funcionario;Baja; $ 8.100,16 ;No;No invierte
América Latina;Brasil;36-45;Artista;Alta; $ 232.144,91 ;No;No invierte
Europa;Países Bajos;18-25;Contador;Baja; $ 15.887,78 ;Si;Bonos
NorteAmérica;Canadá;56-65;Ingeniero;Media; $ 43.730,02 ;Si;Bienes Raíces
Europa;Reino Unido;46-55;Docente;Baja; $ 6.414,83 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;46-55;Docente;Alta; $ 426.061,30 ;No;No invierte
América Latina;Argentina;18-25;Desarrollador;Baja; $ 18.374,54 ;Si;Criptomonedas
Europa;Alemania;18-25;Abogado;Media; $ 76.634,10 ;Si;No invierte
América Latina;Colombia;18-25;Científico;Baja; $ 6.580,93 ;No;No invierte
Europa;Francia;66+;Empresario;Alta; $ 354.263,69 ;No;No invierte
Europa;Francia;66+;Contador;Alta; $ 100.611,54 ;Si;Acciones
Europa;Francia;66+;Docente;Baja; $ 16.540,20 ;Si;Criptomonedas
Europa;Países Bajos;46-55;Empresario;Baja; $ 17.798,94 ;No;No invierte
Europa;España;18-25;Abogado;Baja; $ 11.783,52 ;Si;No invierte
NorteAmérica;Canadá;66+;Empresario;Baja; $ 13.699,63 ;Si;Criptomonedas
NorteAmérica;Canadá;26-35;Funcionario;Media; $ 69.356,08 ;No;No invierte
América Latina;Chile;18-25;Artista;Media; $ 49.827,39 ;Si;Acciones
América Latina;Colombia;36-45;Abogado;Alta; $ 414.101,94 ;Si;No invierte
América Latina;Chile;66+;Empresario;Baja; $ 17.452,09 ;Si;Acciones
Europa;Países Bajos;66+;Funcionario;Alta; $ 240.025,82 ;Si;Bonos
NorteAmérica;Canadá;26-35;Docente;Media; $ 47.162,44 ;Si;Acciones
Europa;Alemania;56-65;Funcionario;Media; $ 61.595,25 ;Si;Acciones
América Latina;Brasil;66+;Abogado;Media; $ 40.869,46 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Ingeniero;Alta; $ 104.149,33 ;Si;No invierte
NorteAmérica;EE.UU.;18-25;Científico;Baja; $ 8.164,29 ;Si;Bonos
América Latina;Brasil;36-45;Abogado;Baja; $ 7.424,65 ;Si;Oro
Europa;Alemania;18-25;Docente;Alta; $ 432.300,68 ;Si;Criptomonedas
NorteAmérica;EE.UU.;36-45;Abogado;Media; $ 48.079,62 ;Si;Oro
Europa;Italia;18-25;Docente;Alta; $ 87.320,93 ;No;No invierte
Europa;Reino Unido;36-45;Científico;Media; $ 46.704,13 ;Si;No invierte
Europa;Países Bajos;46-55;Contador;Baja; $ 16.068,95 ;No;No invierte
Europa;Francia;36-45;Médico;Media; $ 68.017,49 ;Si;Bienes Raíces
América Latina;Argentina;18-25;Abogado;Media; $ 65.305,88 ;Si;Fondos de inversiÃ³n
Europa;Países Bajos;66+;Contador;Media; $ 36.577,29 ;Si;Acciones
América Latina;Argentina;66+;Abogado;Alta; $ 370.045,99 ;No;No invierte
Europa;Reino Unido;56-65;Abogado;Media; $ 38.906,25 ;Si;Oro
América Latina;Argentina;36-45;Médico;Baja; $ 17.494,31 ;Si;No invierte
América Latina;Brasil;26-35;Empresario;Media; $ 59.317,53 ;Si;Fondos de inversiÃ³n
América Latina;Brasil;18-25;Contador;Alta; $ 355.839,08 ;Si;Oro
NorteAmérica;EE.UU.;26-35;Empresario;Alta; $ 466.598,57 ;Si;Criptomonedas
Europa;Alemania;46-55;Artista;Alta; $ 420.142,84 ;Si;Criptomonedas
América Latina;Perú;18-25;Artista;Media; $ 42.899,20 ;Si;No invierte
NorteAmérica;EE.UU.;18-25;Ingeniero;Baja; $ 9.211,48 ;Si;Oro
